eps,costo_clas,punt_clas,costo_aug,punt_aug,nota
148.0,4296362.0,148.0,4296362.0,148.0,coincidono
153.5,4307684.0,213.0,4307684.0,213.0,coincidono
159.0,4307684.0,213.0,4307684.0,213.0,coincidono
164.5,4307684.0,213.0,4307684.0,213.0,coincidono
170.0,4307684.0,213.0,4307684.0,213.0,coincidono
175.5,4307684.0,213.0,4307684.0,213.0,coincidono
181.0,4307684.0,213.0,4307684.0,213.0,coincidono
186.5,4307684.0,213.0,4307684.0,213.0,coincidono
192.0,4307684.0,213.0,4307684.0,213.0,coincidono
197.5,4307684.0,213.0,4307684.0,213.0,coincidono
203.0,4307684.0,213.0,4307684.0,213.0,coincidono
208.5,4307684.0,213.0,4307684.0,213.0,coincidono
214.0,4311824.0,238.0,4311824.0,238.0,coincidono
219.5,4311824.0,238.0,4311824.0,238.0,coincidono
225.0,4311824.0,238.0,4311824.0,238.0,coincidono
230.5,4311824.0,238.0,4311824.0,238.0,coincidono
236.0,4311824.0,238.0,4311824.0,238.0,coincidono
241.5,4694132.0,246.0,4694132.0,246.0,coincidono
247.0,4789845.0,258.0,4789845.0,258.0,coincidono
252.5,4789845.0,258.0,4789845.0,258.0,coincidono
258.0,4789845.0,258.0,4789845.0,258.0,coincidono
