b,costo_min,punteggio_costo_min,fornitori_attivi_mincost,punteggio_max,costo_punteggio_max,fornitori_attivi_maxptg
6865000.0,4296362.0,148.0,2,258.0,4807815.0,3
6659000.0,4296362.0,148.0,2,258.0,4807815.0,3
6453000.0,4296362.0,148.0,2,258.0,4807815.0,3
6247000.0,4296362.0,148.0,2,258.0,4807815.0,3
6041000.0,4296362.0,148.0,2,258.0,4807815.0,3
5835000.0,4296362.0,148.0,2,258.0,4807815.0,3
5149000.0,4296362.0,148.0,2,258.0,4807815.0,3
4806000.0,4296362.0,148.0,2,258.0,4798335.0,3
4462000.0,4296362.0,148.0,2,238.0,4462000.0,3
